iter	Passed	Remaining
0	861	430059
1	1565	389751
2	2212	366512
3	2891	358499
4	3559	352378
5	4177	343973
6	4866	342759
7	5473	336629
8	6160	336087
9	6823	334372
10	7481	332583
11	8165	332056
12	8837	331059
13	9544	331344
14	10198	329740
15	10883	329236
16	11542	327945
17	12313	329721
18	12988	328816
19	13688	328531
20	14369	327755
21	15035	326674
22	15751	326682
23	16495	327167
24	17109	325076
25	17715	322973
26	18353	321531
27	18992	320156
28	19653	319204
29	20292	317914
30	20908	316323
31	21563	315367
32	22186	313971
33	22809	312629
34	23426	311235
35	24072	310261
36	24713	309258
37	25382	308596
38	25959	306850
39	26556	305405
40	27208	304600
41	27876	303989
42	28540	303328
43	29233	302969
44	29838	301697
45	30448	300516
46	31045	299228
47	31625	297804
48	32257	296902
49	32829	295464
50	33362	293718
51	33938	292395
52	34478	290793
53	35000	289080
54	35518	287375
55	36069	285976
56	36639	284756
57	37236	283770
58	37831	282772
59	38479	282182
60	39074	281208
61	39627	279951
62	40173	278663
63	40800	277956
64	41339	276657
65	41920	275659
66	42438	274267
67	43025	273337
68	43601	272349
69	44086	270818
70	44679	269966
71	45224	268835
72	45825	268048
73	46371	266947
74	46852	265496
75	47453	264739
76	48106	264271
77	48688	263417
78	49275	262595
79	49776	261324
80	50405	260738
81	50938	259662
82	51448	258484
83	52006	257555
84	52486	256255
85	52998	255132
86	53524	254087
87	54021	252917
88	54516	251754
89	55053	250798
90	55610	249942
91	56280	249589
92	56909	249054
93	57526	248464
94	58116	247758
95	58783	247379
96	59327	246485
97	59878	245622
98	60431	244778
99	61058	244233
100	61641	243515
101	62202	242713
102	62762	241908
103	63358	241251
104	64026	240861
105	64709	240522
106	65317	239905
107	65913	239241
108	66434	238311
109	67100	237900
110	67583	236847
111	68208	236294
112	68764	235503
113	69330	234752
114	69908	234040
115	70548	233541
116	71161	232947
117	71695	232098
118	72316	231535
119	72950	231009
120	73505	230236
121	74103	229600
122	74710	228990
123	75206	228044
124	75710	227130
125	76330	226568
126	76946	225991
127	77550	225382
128	78205	224916
129	78704	224006
130	79226	223164
131	79854	222623
132	80387	221822
133	80985	221199
134	81531	220438
135	82070	219660
136	82685	219085
137	83289	218484
138	83983	218115
139	84581	217495
140	85097	216665
141	85670	215985
142	86179	215146
143	86712	214372
144	87327	213801
145	87942	213229
146	88440	212377
147	88917	211478
148	89552	210960
149	90178	210416
150	90769	209791
151	91241	208895
152	91766	208123
153	92267	207302
154	92889	206755
155	93351	205852
156	93908	205162
157	94457	204459
158	94976	203691
159	95482	202900
160	96005	202149
161	96509	201358
162	97092	200737
163	97620	200003
164	98252	199481
165	98843	198878
166	99442	198290
167	100053	197724
168	100686	197201
169	101276	196594
170	101894	196041
171	102490	195446
172	102996	194681
173	103678	194248
174	104164	193448
175	104781	192893
176	105307	192171
177	106000	191754
178	106641	191239
179	107166	190518
180	107658	189740
181	108254	189148
182	108852	188558
183	109349	187795
184	109953	187217
185	110496	186537
186	111115	185984
187	111831	185593
188	112380	184923
189	113113	184553
190	113942	184335
191	114649	183916
192	115362	183504
193	115938	182871
194	116622	182409
195	117135	181679
196	117790	181169
197	118329	180481
198	118922	179877
199	119571	179357
200	120237	178861
201	120737	178117
202	121171	177280
203	121922	176907
204	122627	176463
205	123323	176004
206	124021	175547
207	124693	175050
208	125307	174471
209	125977	173969
210	126528	173302
211	127215	172820
212	127870	172295
213	128394	171592
214	128921	170895
215	129440	170190
216	130038	169589
217	130593	168933
218	131143	168271
219	131759	167693
220	132398	167146
221	132973	166516
222	133567	165911
223	134170	165317
224	134869	164840
225	135459	164229
226	136056	163628
227	136560	162914
228	137212	162378
229	137800	161765
230	138325	161080
231	138925	160483
232	139407	159750
233	140003	159148
234	140582	158529
235	141130	157875
236	141729	157277
237	142294	156643
238	142949	156108
239	143441	155395
240	144078	154839
241	144556	154113
242	145041	153398
243	145552	152710
244	146191	152158
245	146691	151461
